i,s,t,capacity
Machine 4,11,2028,3936.0
Machine 4,11,2029,3936.0
Machine 4,11,2030,3936.0
Machine 4,11,2031,3936.0
Machine 4,11,2032,3936.0
Machine 5,11,2025,5131.0
Machine 5,11,2026,4604.0
Machine 5,11,2027,4032.0
Machine 5,11,2028,4032.0
Machine 5,11,2029,4032.0
Machine 5,11,2030,4032.0
Machine 5,11,2031,4032.0
Machine 5,11,2032,4032.0
Machine 1,12,2025,8520.0
Machine 1,12,2026,8520.0
Machine 1,12,2027,8520.0
Machine 1,12,2028,8520.0
Machine 1,12,2029,8520.0
Machine 1,12,2030,8520.0
Machine 1,12,2031,8520.0
Machine 1,12,2032,8520.0
Machine 2,12,2025,8520.0
Machine 2,12,2026,8520.0
Machine 2,12,2027,8483.0
Machine 2,12,2028,8507.0
Machine 2,12,2029,8483.0
Machine 2,12,2030,8483.0
Machine 2,12,2031,8483.0
Machine 2,12,2032,8507.0
Machine 3,12,2025,8520.0
Machine 3,12,2026,8520.0
Machine 3,12,2027,8483.0
Machine 3,12,2028,8507.0
Machine 3,12,2029,6509.0
Machine 3,12,2030,6509.0
Machine 3,12,2031,6509.0
Machine 3,12,2032,6509.0
Machine 4,12,2025,4852.0
Machine 4,12,2026,3952.0
Machine 4,12,2027,3912.0
Machine 4,12,2028,3936.0
Machine 4,12,2029,3936.0
Machine 4,12,2030,3936.0
Machine 4,12,2031,3936.0
Machine 4,12,2032,3936.0
Machine 5,12,2025,5131.0
Machine 5,12,2026,4604.0
Machine 5,12,2027,4032.0
Machine 5,12,2028,4032.0
Machine 5,12,2029,4032.0
Machine 5,12,2030,4032.0
Machine 5,12,2031,4032.0
Machine 5,12,2032,4032.0
Machine 1,13,2025,8520.0
Machine 1,13,2026,8520.0
Machine 1,13,2027,8520.0
Machine 1,13,2028,8520.0
Machine 1,13,2029,8520.0
Machine 1,13,2030,8520.0
Machine 1,13,2031,8520.0
Machine 1,13,2032,8520.0
Machine 2,13,2025,8520.0
Machine 2,13,2026,8520.0
Machine 2,13,2027,8483.0
Machine 2,13,2028,8507.0
Machine 2,13,2029,8483.0
Machine 2,13,2030,8483.0
Machine 2,13,2031,8483.0
Machine 2,13,2032,8507.0
Machine 3,13,2025,8520.0
Machine 3,13,2026,8520.0
Machine 3,13,2027,8483.0
Machine 3,13,2028,8507.0
Machine 3,13,2029,6509.0
Machine 3,13,2030,6509.0
Machine 3,13,2031,6509.0
Machine 3,13,2032,6509.0
Machine 4,13,2025,4852.0
Machine 4,13,2026,3952.0
Machine 4,13,2027,3912.0
Machine 4,13,2028,3936.0
Machine 4,13,2029,3936.0
Machine 4,13,2030,3936.0
Machine 4,13,2031,3936.0
Machine 4,13,2032,3936.0
Machine 5,13,2025,5131.0
Machine 5,13,2026,4604.0
Machine 5,13,2027,4032.0
Machine 5,13,2028,4032.0
Machine 5,13,2029,4032.0
Machine 5,13,2030,4032.0
Machine 5,13,2031,4032.0
Machine 5,13,2032,4032.0
Machine 1,14,2025,8520.0
Machine 1,14,2026,8520.0
Machine 1,14,2027,8520.0
Machine 1,14,2028,8520.0
Machine 1,14,2029,8520.0
Machine 1,14,2030,8520.0
Machine 1,14,2031,8520.0
Machine 1,14,2032,8520.0
Machine 2,14,2025,8520.0
Machine 2,14,2026,8520.0
Machine 2,14,2027,8483.0
Machine 2,14,2028,8507.0
Machine 2,14,2029,8483.0
Machine 2,14,2030,8483.0
Machine 2,14,2031,8483.0
Machine 2,14,2032,8507.0
Machine 3,14,2025,8520.0
Machine 3,14,2026,8520.0
Machine 3,14,2027,8483.0
Machine 3,14,2028,8507.0
Machine 3,14,2029,6509.0
Machine 3,14,2030,6509.0
Machine 3,14,2031,6509.0
Machine 3,14,2032,6509.0
Machine 4,14,2025,4852.0
Machine 4,14,2026,3952.0
Machine 4,14,2027,3912.0
Machine 4,14,2028,3936.0
Machine 4,14,2029,3936.0
Machine 4,14,2030,3936.0
Machine 4,14,2031,3936.0
Machine 4,14,2032,3936.0
Machine 5,14,2025,5131.0
Machine 5,14,2026,4604.0
Machine 5,14,2027,4032.0
Machine 5,14,2028,4032.0
Machine 5,14,2029,4032.0
Machine 5,14,2030,4032.0
Machine 5,14,2031,4032.0
Machine 5,14,2032,4032.0
Machine 1,15,2025,8520.0
Machine 1,15,2026,8520.0
Machine 1,15,2027,8520.0
Machine 1,15,2028,8520.0
Machine 1,15,2029,8520.0
Machine 1,15,2030,8520.0
Machine 1,15,2031,8520.0
Machine 1,15,2032,8520.0
Machine 2,15,2025,8520.0
Machine 2,15,2026,8520.0
Machine 2,15,2027,8483.0
Machine 2,15,2028,8507.0
Machine 2,15,2029,8483.0
Machine 2,15,2030,8483.0
Machine 2,15,2031,8483.0
Machine 2,15,2032,8507.0
Machine 3,15,2025,8520.0
Machine 3,15,2026,8520.0
Machine 3,15,2027,8483.0
Machine 3,15,2028,8507.0
Machine 3,15,2029,6509.0
Machine 3,15,2030,6509.0
Machine 3,15,2031,6509.0
Machine 3,15,2032,6509.0
Machine 4,15,2025,4852.0
Machine 4,15,2026,3952.0
Machine 4,15,2027,3912.0
Machine 4,15,2028,3936.0
Machine 4,15,2029,3936.0
Machine 4,15,2030,3936.0
Machine 4,15,2031,3936.0
Machine 4,15,2032,3936.0
Machine 5,15,2025,5131.0
Machine 5,15,2026,4604.0
Machine 5,15,2027,4032.0
Machine 5,15,2028,4032.0
Machine 5,15,2029,4032.0
Machine 5,15,2030,4032.0
Machine 5,15,2031,4032.0
Machine 5,15,2032,4032.0
Machine 1,16,2025,8520.0
Machine 1,16,2026,8520.0
Machine 1,16,2027,8520.0
Machine 1,16,2028,8520.0
Machine 1,16,2029,8520.0
Machine 1,16,2030,8520.0
Machine 1,16,2031,8520.0
Machine 1,16,2032,8520.0
Machine 2,16,2025,8520.0
Machine 2,16,2026,8520.0
Machine 2,16,2027,8483.0
Machine 2,16,2028,8507.0
Machine 2,16,2029,8483.0
Machine 2,16,2030,8483.0
Machine 2,16,2031,8483.0
Machine 2,16,2032,8507.0
Machine 3,16,2025,8520.0
Machine 3,16,2026,8520.0
Machine 3,16,2027,8483.0
Machine 3,16,2028,8507.0
Machine 3,16,2029,6509.0
Machine 3,16,2030,6509.0
Machine 3,16,2031,6509.0
Machine 3,16,2032,6509.0
Machine 4,16,2025,4852.0
Machine 4,16,2026,3952.0
Machine 4,16,2027,3912.0
Machine 4,16,2028,3936.0
Machine 4,16,2029,3936.0
Machine 4,16,2030,3936.0
Machine 4,16,2031,3936.0
Machine 4,16,2032,3936.0
Machine 5,16,2025,5131.0
Machine 5,16,2026,4604.0
Machine 5,16,2027,4032.0
Machine 5,16,2028,4032.0
Machine 5,16,2029,4032.0
Machine 5,16,2030,4032.0
Machine 5,16,2031,4032.0
Machine 5,16,2032,4032.0
Machine 1,17,2025,8520.0
Machine 1,17,2026,8520.0
Machine 1,17,2027,8520.0
Machine 1,17,2028,8520.0
Machine 1,17,2029,8520.0
Machine 1,17,2030,8520.0
Machine 1,17,2031,8520.0
Machine 1,17,2032,8520.0
Machine 2,17,2025,8520.0
Machine 2,17,2026,8520.0
Machine 2,17,2027,8483.0
Machine 2,17,2028,8507.0
Machine 2,17,2029,8483.0
Machine 2,17,2030,8483.0
Machine 2,17,2031,8483.0
Machine 2,17,2032,8507.0
Machine 3,17,2025,8520.0
Machine 3,17,2026,8520.0
Machine 3,17,2027,8483.0
Machine 3,17,2028,8507.0
Machine 3,17,2029,6509.0
Machine 3,17,2030,6509.0
Machine 3,17,2031,6509.0
Machine 3,17,2032,6509.0
Machine 4,17,2025,4852.0
