scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
66,0.012345679012345678,Decrease,Flat,Flat,Increase,188594.21364898563,180181.3652906472,165134.87398465048,180220.2924584616,189343.01442705208,180181.3652906472,180766.4835821184,180181.3652906472,188594.2136489856
67,0.012345679012345678,Decrease,Flat,Flat,Flat,181656.63190499946,180181.3652906472,158197.29224066433,178651.38680856276,182405.4324347758,180181.36529064723,180766.4835821184,180181.3652906472,181656.63190499946
68,0.012345679012345678,Decrease,Flat,Flat,Decrease,169758.9284531647,178838.5910940729,151259.71049667822,167719.52880971425,179423.7093855441,178838.5910940729,179423.70938554412,178838.5910940729,169758.9284531647
69,0.012345679012345678,Decrease,Flat,Decrease,Increase,185125.42277699258,180181.36529064717,161666.0831126574,176751.5015864685,185874.2233067689,180181.36529064723,180766.4835821184,180181.36529064717,185125.42277699252
70,0.012345679012345678,Decrease,Flat,Decrease,Flat,178187.84103300638,180181.36529064717,154728.50136867125,175182.59593656968,180766.4835821184,180181.36529064723,180766.4835821184,180181.36529064717,178187.84103300638
71,0.012345679012345678,Decrease,Flat,Decrease,Decrease,166290.1375811716,176510.02413367206,147790.91962468516,164250.73793772113,177095.14242514328,176510.0241336721,177095.14242514328,176510.02413367206,166290.1375811716
72,0.012345679012345678,Decrease,Decrease,Increase,Increase,184688.35830591404,179438.7891652746,160555.0981647802,175640.51663859133,185437.16026605226,179438.78916527462,180023.9074567458,179438.7891652746,184688.35830591404
73,0.012345679012345678,Decrease,Decrease,Increase,Flat,177750.77656192792,179147.6728082937,153617.51642079404,174071.6109886925,180023.9074567458,179147.6728082937,179732.79109976487,179147.6728082937,177750.77656192792
74,0.012345679012345678,Decrease,Decrease,Increase,Decrease,165853.0731100932,176489.10907649284,146679.9346768079,163139.752989844,177270.40158901445,176489.10907649284,177074.22736796405,176489.10907649284,165853.0731100932
75,0.012345679012345678,Decrease,Decrease,Flat,Increase,181219.56743392098,179438.78916527462,157086.30729278715,172171.72576659828,181968.36903419672,179438.78916527465,180023.90745674586,179438.78916527462,181219.56743392098
76,0.012345679012345678,Decrease,Decrease,Flat,Flat,174281.98568993487,178845.63958792604,150148.72554880098,170602.82011669944,179430.7586286415,178845.63958792607,179430.75787939725,178845.63958792604,174281.98568993487
77,0.012345679012345678,Decrease,Decrease,Flat,Decrease,162384.28223810013,173814.23692633436,143211.14380481484,159670.96211785096,174399.35521780557,173814.23692633433,174399.35521780554,173814.23692633436,162384.28223810013
78,0.012345679012345678,Decrease,Decrease,Decrease,Increase,177750.7765619279,179348.03629285542,153617.51642079407,168702.9348946052,180023.9074567458,179438.78916527462,180023.9074567458,179348.03629285542,177750.7765619279
79,0.012345679012345678,Decrease,Decrease,Decrease,Flat,170813.19481794178,176685.2832975433,146679.9346768079,167134.02924470635,177270.40158901445,176685.2832975433,177270.4015890145,176685.2832975433,170813.19481794178
80,0.012345679012345678,Decrease,Decrease,Decrease,Decrease,158915.49136610702,170748.8020995859,139742.35293282176,156202.17124585784,171333.9203910571,170748.80209958588,171333.9203910571,170748.8020995859,158915.49136610705
