Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Growth Slope,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Competition Time,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
4,Launch products vs growth slope,35,36,0,4,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,103552.869516816,6578.188625384908,2777.042073111632,9,4,8,6,4,4,96974.6808914311,100775.82744370437,1474.185165764486,3628.890913085325,40,81,success,483.3214571829885,,,45,3,300,0.5,15,3,9,4,8,6,4,4,3,300
4,Launch products vs growth slope,36,37,0,4,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,101529.47110353288,6578.188625384908,2777.042073111661,9,4,8,6,4,4,94951.28247814797,98752.42903042122,1443.4259624562242,3556.0292725334784,40,81,success,483.3143339420203,,,45,3,300,0.5,15,3,9,4,8,6,4,4,3,300
4,Launch products vs growth slope,37,38,0,4,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,98978.13943328048,6440.089396181895,2777.0420731118065,11,4,8,6,4,4,92538.05003709858,96201.09736016867,1436.9062965486344,3464.1569996946723,40,81,success,334.5280480340589,,,45,3,300,0.5,15,3,11,4,8,6,4,4,3,300
4,Launch products vs growth slope,38,39,0,4,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,96667.5076234047,5946.842589643493,2755.7158153524506,12,4,8,6,4,4,90720.66503376121,93911.79180805225,1525.5265910645169,3407.891019997689,40,81,success,322.31941696908325,,,45,3,300,0.5,15,3,12,4,8,6,4,4,3,300
4,Launch products vs growth slope,39,40,0,4,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,94081.0085656376,4991.147121144808,2712.650811059779,12,4,8,6,4,4,89089.8614444928,91368.35775457782,1784.9576316247408,3368.2314502868885,40,81,success,350.46888191392645,,,45,3,300,0.5,15,3,12,4,8,6,4,4,3,300
5,Launch products vs launch time,0,1,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,165.84105339599773,,,45,1,300,0.5,15,3,8,4,8,5,4,4,3,300
5,Launch products vs launch time,1,2,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,168.41815659799613,,,45,2,300,0.5,15,3,8,4,8,5,4,4,3,300
5,Launch products vs launch time,2,3,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,184.8328279410489,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
5,Launch products vs launch time,3,4,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,165.3331811010139,,,45,4,300,0.5,15,3,8,4,8,5,4,4,3,300
5,Launch products vs launch time,4,5,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,164.2086798789678,,,45,5,300,0.5,15,3,8,4,8,5,4,4,3,300
