Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Competition Time,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Growth Slope,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
7,Decline products vs net revenue,31,32,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,91657.06839897108,91462.02896848068,88715.39980757097,5,5,8,4,4,4,195.0394304904039,2941.6685914001137,0.2132463413397681,3.315848880555991,40,81,success,6.84547104802914,,,45,0.5,3,200,0.5,15,5,5,8,4,4,4,3,200
7,Decline products vs net revenue,32,33,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151616.24479517154,151421.20536468114,148801.26162331662,5,5,8,4,4,4,195.0394304904039,2814.983171854925,0.1288058895190228,1.891773726341731,40,81,success,8.103934383019805,,,45,0.5,3,300,0.5,15,5,5,8,4,4,4,3,300
7,Decline products vs net revenue,33,34,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,211575.4211913737,211380.3817608833,208887.12343906387,5,5,8,4,4,4,195.0394304904039,2688.2977523098234,0.092269409708516,1.286961928552776,40,81,success,9.10388096095994,,,45,0.5,3,400,0.5,15,5,5,8,4,4,4,3,400
7,Decline products vs net revenue,34,35,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,271534.5975875794,271339.558157089,268972.9852548138,5,5,8,4,4,4,195.0394304904039,2561.612332765595,0.0718802049413996,0.9523678856963388,40,81,success,13.197417516028509,,,45,0.5,3,500,0.5,15,5,5,8,4,4,4,3,500
7,Decline products vs net revenue,35,36,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,331493.7739837746,331298.7345532842,329058.84707055514,5,5,8,4,4,4,195.0394304904039,2434.926913219446,0.0588711667593269,0.7399670104287945,40,81,success,57.41914701112546,,,45,0.5,3,600,0.5,15,5,5,8,4,4,4,3,600
7,Decline products vs net revenue,36,37,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,398001.4963740393,391257.9109494869,389144.7088863031,10,5,8,6,4,4,6743.585424552439,8856.787487736205,1.7235652585751973,2.275962459590826,40,81,success,154.80146315600723,,,45,0.5,3,700,0.5,15,10,5,8,6,4,4,3,700
7,Decline products vs net revenue,37,38,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,466248.1342051438,451217.0873456885,449230.5707020497,10,5,8,6,4,4,15031.046859455295,17017.563503094076,3.331222881623639,3.7881579333524393,40,81,success,246.72639886988327,,,45,0.5,3,800,0.5,15,10,5,8,6,4,4,3,800
7,Decline products vs net revenue,38,39,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,538279.8457665702,511176.2637418881,509316.4325177948,11,5,8,7,4,4,27103.58202468208,28963.41324877541,5.302198859211457,5.686722712949853,40,81,success,298.4113251538947,,,45,0.5,3,900,0.5,15,11,5,8,7,4,4,3,900
7,Decline products vs net revenue,39,40,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,609681.3408155306,571233.6720943378,569402.2943335494,11,6,8,7,4,4,38447.668721192866,40279.046481981175,6.73063767061045,7.073917137816476,40,81,success,306.1076694589574,,,45,0.5,3,1000,0.5,15,11,6,8,7,4,4,3,1000
7,Decline products vs net revenue,40,41,0,0,4,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,26234.205167661865,26234.205167661865,22234.20516766188,4,4,8,4,4,4,0.0,3999.9999999999854,0.0,17.990299045264322,40,81,success,5.010018453001976,,,45,0.5,3,100,0.5,15,4,4,8,4,4,4,3,100
7,Decline products vs net revenue,41,42,0,0,4,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,79924.73415924565,79924.73415924565,75924.73415924568,4,4,8,4,4,4,0.0,3999.999999999971,0.0,5.268375377660607,40,81,success,4.7201345739886165,,,45,0.5,3,200,0.5,15,4,4,8,4,4,4,3,200
